author,datePublished,summary,title
,"June 3, 2019 /  4:07 PM / Updated 3 hours ago",(Reuters) - Alphabet Inc’s shares fell as much as 7% on Monday following reports that the U.S. Justice Department may investigate Google for hampering competition. ,Alphabet shares slide 7% on possible DoJ antitrust probe
Jan  Wolfe,"June 2, 2019 /  2:37 PM / Updated 4 hours ago","(Reuters) - The U.S. Justice Department is preparing an investigation of Alphabet Inc’s Google to determine whether the technology company violated laws to ensure fair competition, two sources familiar with the matter said. ",Explainer: Why Google has a target on its back in Washington
,"June 3, 2019 /  4:04 PM / Updated 3 hours ago","(Reuters) - Quest Diagnostics Inc said on Monday it was notified by a billing collections vendor that an unauthorized user gained access to information on nearly 11.9 million patients, including credit card numbers and bank account information.      ",Quest Diagnostics says data breach could have hit 11.9 million patients
,"June 3, 2019 /  4:49 PM / in 2 hours","HELSINKI (Reuters) - Nokia has attracted increased interest in its next-generation telecoms equipment in recent weeks, helping it to move ahead of Chinese rival Huawei in total 5G orders, one of the Finnish company’s directors said. ",Nokia says it has moved ahead of Huawei in 5G orders
Stephen Nellis,"June 3, 2019 /  11:04 AM / Updated 7 minutes ago","(Reuters) - Apple Inc on Monday launched a “Sign In With Apple” function to rival Facebook and Google web login accounts, drawing a contrast with rivals by stressing protection of users’ private information. ","Apple introduces web login, stresses privacy in challenge to Google, Facebook"
Emma Thomasson,"June 3, 2019 /  5:09 PM / Updated 2 hours ago","BERLIN (Reuters) - French retailer Carrefour SA has seen sales boosted by the use of blockchain ledger technology to track meat, milk and fruit from farms to stores and will extend it to more products to increase shopper trust, an executive said on Monday. ",Carrefour says blockchain tracking boosting sales of some products
,"June 3, 2019 /  4:19 PM / Updated 3 hours ago","MOSCOW (Reuters) - Russia said on Monday it had added the popular dating app Tinder to a list of entities obliged to hand over user data and messages to law enforcement agencies on demand, including the main successor agency to the Soviet-era KGB.  ",Russia orders Tinder dating app to share user data on demand
,"June 3, 2019 /  5:44 PM / Updated 42 minutes ago","WASHINGTON (Reuters) - The U.S. Justice Department has jurisdiction for a potential probe of Apple Inc as part of a broader review of whether technology giants are using their size to act in an anti-competitive manner, two sources told Reuters. ",Exclusive: U.S. Justice Dept considering Apple probe - sources
,"June 3, 2019 /  6:24 PM / Updated 32 minutes ago","WASHINGTON (Reuters) - Donald Trump’s son-in-law and White House adviser Jared Kushner denied that he spoke with the president about his security clearance, according to an interview with the Axios news outlet that comes amid a congressional investigation of the issue.  ",Kushner denies discussing his security clearance with Trump
,"June 3, 2019 /  4:03 PM / Updated an hour ago","(Reuters) - The Federal Trade Commission (FTC) has secured the right to examine how Facebook Inc’s practices affect its digital competition, the Wall Street Journal reported on Monday. ",FTC wins right for competition probe at Facebook: WSJ
,"June 3, 2019 /  1:49 PM / Updated 5 hours ago",(Reuters) - Chipmaker Advanced Micro Devices shares rose 7 percent in early trading on Monday after the company announced a deal with Samsung Electronics Co Ltd that could allow it to better compete with Nvidia Corp. ,AMD shares rise on mobile graphics tie-up with Samsung
Frank Jack Daniel,"June 3, 2019 /  5:13 AM / Updated 31 minutes ago","MEXICO CITY (Reuters) - Fighting to stave off punitive tariffs announced by U.S. President Donald Trump, a senior Mexican delegation was set to begin high level talks on Monday in Washington, where it will be pushed to do more to hold back Central American migrants.  ","Reeling from tariff threat, Mexico begins immigration talks in Washington"
Idrees Ali,"June 2, 2019 /  10:15 AM / in a day","SEOUL (Reuters) - The Pentagon has told the White House that the U.S. military will not be politicized, a U.S. official said on Sunday, in response to a controversy after officials directed the United States Navy to keep the USS John S. McCain out of sight during a recent speech by President Donald Trump in Japan.  ","Amid USS McCain controversy, Pentagon says military will not be politicized"
,"May 27, 2019 /  10:41 PM / Updated 16 minutes ago","The NFL likely will investigate an altercation between Dallas Cowboys running back Ezekiel Elliott and a security officer to determine whether Elliott violated any terms of a previous suspension agreement, Yahoo Sports reported Monday. ",Report: NFL to review video of Cowboys' Elliott altercation
"Sharon Bernstein,Tim Reid","June 1, 2019 /  6:41 PM / a day ago","SAN FRANCISCO (Reuters) - (This June 1 story has been corrected to remove reference in paragraphs 12, 14-15 to a pamphlet purporting to be from the campaign of former Vice President Joe Biden, criticizing Bernie Sanders. It was not from Biden. Corrects spelling of Senator Booker’s name in fifth paragraph.) ","'Oh my God, is that Bernie Sanders?' Democrats swarm San Francisco"
